date,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp
2017-1-1,-7,0,-9,2,-12,11
2017-1-2,-9,9,-9,2,-13,8
2017-1-3,-9,9,-9,2,-14,8
2017-1-4,-9,6,-9,2,-17,13
2017-1-5,-4,4,-9,2,-15,10
2017-1-6,-6,5,-9,2,-15,7
2017-1-7,-1,4,-9,2,-16,6
2017-1-8,-1,7,-8,3,-17,6
2017-1-9,-4,5,-8,3,-15,6
2017-1-10,-8,4,-8,3,-15,12
2017-1-11,-11,7,-8,3,-16,10
2017-1-12,-9,7,-8,3,-16,11
2017-1-13,-4,3,-8,3,-15,6
2017-1-14,-9,3,-8,3,-16,5
2017-1-15,-7,0,-8,3,-18,5
2017-1-16,-3,0,-8,3,-17,5
2017-1-17,-7,3,-8,3,-15,7
2017-1-18,-8,2,-8,3,-15,6
2017-1-19,-8,-1,-8,3,-16,6
2017-1-20,-13,0,-8,3,-14,8
2017-1-21,-12,1,-8,3,-16,6
2017-1-22,-12,0,-8,3,-15,6
2017-1-23,-14,0,-7,4,-17,6
2017-1-24,-13,3,-7,4,-15,10
2017-1-25,-10,3,-7,4,-17,8
2017-1-26,-6,9,-7,4,-14,10
2017-1-27,-10,4,-7,4,-14,11
2017-1-28,-7,2,-7,4,-14,6
2017-1-29,-5,1,-7,4,-14,8
2017-1-30,-15,1,-7,4,-15,8
2017-1-31,-7,6,-7,4,-15,8
2017-2-1,-7,4,-7,4,-14,8
2017-2-2,-12,5,-7,4,-13,10
2017-2-3,-9,6,-6,5,-16,11
2017-2-4,-5,9,-6,5,-15,10
2017-2-5,-5,9,-6,5,-11,12
2017-2-6,-3,5,-6,5,-12,10
2017-2-7,-5,2,-6,6,-16,11
2017-2-8,-6,5,-5,6,-14,11
2017-2-9,-4,3,-5,6,-13,13
2017-2-10,-4,5,-5,6,-13,16
2017-2-11,-7,9,-5,7,-13,12
2017-2-12,-8,10,-5,7,-12,10
2017-2-13,-7,13,-4,7,-11,12
2017-2-14,-7,5,-4,7,-11,12
2017-2-15,-5,8,-4,8,-12,11
2017-2-16,0,9,-4,8,-10,12
2017-2-17,-5,6,-4,8,-9,10
2017-2-18,-7,10,-3,8,-10,12
2017-2-19,-3,15,-3,8,-11,15
2017-2-20,-6,5,-3,9,-13,13
2017-2-21,-6,2,-3,9,-13,15
2017-2-22,-6,7,-3,9,-7,12
2017-2-23,-6,8,-2,9,-9,12
2017-2-24,-5,12,-2,10,-11,13
2017-2-25,0,14,-2,10,-9,13
2017-2-26,-3,13,-2,10,-10,13
2017-2-27,-4,16,-2,10,-8,15
2017-2-28,2,16,-1,11,-7,15
2017-3-1,-2,9,-1,11,-7,13
2017-3-2,-4,15,-0,12,-7,20
2017-3-3,-3,14,-0,12,-7,16
2017-3-4,-4,12,0,12,-6,18
2017-3-5,1,11,0,12,-9,15
2017-3-6,-5,9,1,13,-7,17
2017-3-7,-4,9,1,13,-7,18
2017-3-8,-1,14,1,13,-5,20
2017-3-9,0,17,1,14,-7,18
2017-3-10,-2,19,2,14,-8,20
2017-3-11,5,20,2,14,-7,21
2017-3-12,4,13,2,15,-9,20
2017-3-13,-2,15,2,15,-6,20
2017-3-14,-2,17,3,15,-5,20
2017-3-15,-2,15,3,16,-5,21
2017-3-16,0,16,3,16,-3,22
2017-3-17,6,16,4,16,-3,22
2017-3-18,3,19,4,16,-7,26
2017-3-19,4,18,4,17,-4,22
2017-3-20,6,13,4,17,-4,23
2017-3-21,1,14,5,17,-4,21
2017-3-22,1,14,5,18,-5,23
2017-3-23,6,10,5,18,-2,20
2017-3-24,1,6,5,18,-3,21
2017-3-25,1,14,6,18,-3,23
2017-3-26,7,15,6,19,-1,23
2017-3-27,3,15,6,19,-1,25
2017-3-28,3,17,6,19,-1,25
2017-3-29,3,19,7,20,-2,23
2017-3-30,8,16,7,20,-1,25
2017-3-31,3,17,7,20,-2,27
2017-4-1,1,22,7,20,0,25
2017-4-2,4,24,7,20,-1,27
2017-4-3,5,25,8,21,0,25
2017-4-4,10,20,8,21,0,25
2017-4-5,11,20,8,21,1,23
2017-4-6,9,26,8,21,-1,27
2017-4-7,12,17,8,21,0,25
2017-4-8,11,18,9,22,1,30
2017-4-9,6,19,9,22,1,31
2017-4-10,7,21,9,22,3,25
